District,Region,Bird,,,,,,,,,,,
Central & Western,Hong Kong Park,Yellow-crested Cockatoo,Chinese Bulbul,Red-whiskered Bulbul,Fork-tailed Sunbird ,Blue Magpie,Magpie Robin,Masked Laughingthrush,Black-crowned Night Heron,,,,
Central & Western,Lung Fu Shan,Spotted Dove,Red-whiskered Bulbul,Masked Laughingthrush,Black-throated Laughingthrush,Silver-eared Mesia ,Asian Brown Flycatcher,Grey-streaked Flycatcher,Dark-sided Flycatcher,Mugimaki Flycatcher,,,
Southern,Aberdeen Reservoirs,Blue Whistling Thrush,Hwamei,Greater Necklaced Laughingthrush,Fork-tailed Sunbird,Black Kite,warblers,flycatchers,thrushes,,,,
Central & Western,The Peak,Blue Whistling Thrush,Hwamei,Fork-tailed Sunbird,Black Kite,warblers,flycatchers,thrushes,,,,,
Central & Western,Mount Davis,Passage migrants,,,,,,,,,,,
Yau Tsim Mong,Kowloon Park,Alexandrine Parakeet,JapaneseThrush,Grey-backedThrush,Chestnut-tailedStarling,Red-whiskeredBulbul,MagpieRobin,ChineseBulbul,Fork-tailedSunbird,BlueMagpie,Black-crowned Night Heron,,
Tsuen Wan,Tai Po Kau Nature Reserve,Hainan Blue Flycatcher,Tristram's Bunting,Pygmy Wren Babbler,Yellow-cheeked Tit,Forest Wagtail,Orange-bellied Leafbird,White-bellied Yuhina,Velvet-fronted Nuthatch,Scarlet Minivet,Blue-winged Minla,Japanese Paradise Flycatcher,Fork-tailed Sunbird
Tsuen Wan,Shing Mun Reservoir,Hainan Blue Flycatcher,Black-throated Tit,Velvet-fronted Nuthatch,Grey-throated Minivet,Scarlet Minivet,Rufous-capped Babbler,Streak-breasted Scimitar-babbler,Fork-tailed Sunbird,,,,
Sai Kung,Ho Chung Valley,Grey Treepie,Hair-crested Drongo,Chinese Goshawk,Dollarbird,buntings,,,,,,,
Tsuen Wan,Ng Tung Chai,Lesser Shortwing,Crested Serpent Eagle,Grey Treepie,Scarlet Minivet,Ashy Drongo,,,,,,,
Tsuen Wan,Wun Yiu,White-browed Laughingthrush,Plumbeous Redstart,Scarlet-backed Flowerpecker,Phylloscopus warblers,Blue Magpi,,,,,,,
Tsuen Wan,Tai Mo Shan,Upland Pipit,Vinous-throated Parrotbill,Chinese Francolin,Chinese Barbax,Large Grass Warbler,Crested Bunting,Grey-faced Bunting,Bonelli's Eagle,Lesser Coucal,,,
Tai Po,Sha Lo Tung,Bright-capped Cisticola,Russet Bush Warbler,Grey Treepie,Chestnut Bunting,,,,,,,,
Yuen Long,Mai Po Nature Reserve,Chinese Egret,Black-faced Spoonbill,Dalmatian Pelican,Saunder's Gull,Spoon-billed Sandpiper,Asian Dowitcher,Nordmann's Greenshank,Imperial Eagle,Greater Spotted Eagle,,,
Yuen Long,Tsim Bei Tsui,Black-faced Spoonbill,Dalmatian Pelican,Slaty-breasted Rail,Grey-headed Lapwing,Oriental Pratincole,Crested Serpent Eagle,Imperial Eagle,Greater Spotted Eagle,Eurasian Eagle Owl,Blue-capped Kingfisher,,
Tai Po,Starling Inlet (Luk Keng and Nam Chung),Cattle Egret,Great Egret,Blue-capped Kingfisher,Pied Kingfisher,Black Baza,,,,,,,
Yuen Long,Kam Tin,Grey-headed Lapwing,Greater Painted Snipe,Richard's Pipit,Siberian Stonechat,Red-billed Starling,,,,,,,
Yuen Long,Long Valley,Greater Painted Snipe,snipes,Zitting Cisticola,Richard's Pipit,Red-throated Pipit,Bluethroat,Red-billed Starling,Cattle Egret,,,,
